Unnamed: 0.1,Unnamed: 0,instruct,qa,_doc_id
0,0,"F: Natalia hat im April Clips an 48 ihrer Freunde verkauft, und dann hat sie im Mai halb so viele Clips verkauft. Wie viele Clips hat Natalia im April und Mai verkauft? A: Denken wir Schritt für Schritt. Natalia verkaufte 48/2 = <<48/2=24>> 24 Clips im Mai. Natalia verkaufte insgesamt 48+24 = <<48+24=72>> 72 Clips im April und Mai. #### 72","F: Natalia hat im April Clips an 48 ihrer Freunde verkauft, und dann hat sie im Mai halb so viele Clips verkauft. Wie viele Clips hat Natalia im April und Mai verkauft? A: Denken wir Schritt für Schritt. Natalia verkaufte 48/2 = <<48/2=24>> 24 Clips im Mai. Natalia verkaufte insgesamt 48+24 = <<48+24=72>> 72 Clips im April und Mai. Die Antwort ist 72.",0
3,3,"F: Julie liest ein 120-seitiges Buch. Gestern konnte sie 12 Seiten lesen und heute hat sie doppelt so viele Seiten gelesen wie gestern. Wenn sie morgen die Hälfte der restlichen Seiten lesen will, wie viele Seiten sollte sie dann lesen? A: Denken wir Schritt für Schritt. Maila hat heute 12 x 2 = <<12*2=24>> 24 Seiten gelesen. Sie konnte also seit gestern insgesamt 12 + 24 = <<12+24=36>> 36 Seiten lesen. Es sind noch 120 - 36 = <<120-36=84>> 84 Seiten zu lesen. Da sie morgen die Hälfte der verbleibenden Seiten lesen will, sollte sie 84/2 = <<84/2=42>> 42 Seiten lesen. #### 42","F: Julie liest ein 120-seitiges Buch. Gestern konnte sie 12 Seiten lesen und heute hat sie doppelt so viele Seiten gelesen wie gestern. Wenn sie morgen die Hälfte der restlichen Seiten lesen will, wie viele Seiten sollte sie dann lesen? A: Denken wir Schritt für Schritt. Maila hat heute 12 x 2 = <<12*2=24>> 24 Seiten gelesen. Sie konnte also seit gestern insgesamt 12 + 24 = <<12+24=36>> 36 Seiten lesen. Es sind noch 120 - 36 = <<120-36=84>> 84 Seiten zu lesen. Da sie morgen die Hälfte der verbleibenden Seiten lesen will, sollte sie 84/2 = <<84/2=42>> 42 Seiten lesen. Die Antwort ist 42.",3
6,6,"F: Albert fragt sich, wie viel Pizza er an einem Tag essen kann. Er kauft zwei große und zwei kleine Pizzen. Eine große Pizza hat 16 Scheiben und eine kleine 8 Scheiben. Wenn er alles isst, wie viele Stücke isst er an diesem Tag? A: Denken wir Schritt für Schritt. Er isst 32 von den größten Pizzen, weil 2 x 16 = <<2*16=32>> 32 Er isst 16 von der kleinen Pizza, weil 2 x 8 = <<2*8=16>> 16 Er isst 48 Stücke, weil 32 + 16 = <<32+16=48>> 48 #### 48","F: Albert fragt sich, wie viel Pizza er an einem Tag essen kann. Er kauft zwei große und zwei kleine Pizzen. Eine große Pizza hat 16 Scheiben und eine kleine 8 Scheiben. Wenn er alles isst, wie viele Stücke isst er an diesem Tag? A: Denken wir Schritt für Schritt. Er isst 32 von den größten Pizzen, weil 2 x 16 = <<2*16=32>> 32 Er isst 16 von der kleinen Pizza, weil 2 x 8 = <<2*8=16>> 16 Er isst 48 Stücke, weil 32 + 16 = <<32+16=48>> 48 Die Antwort ist 48.",6
12,12,F: Randy hat 60 Mangobäume auf seiner Farm. Er hat auch 5 weniger als die Hälfte so viele Kokosnussbäume wie Mangobäume. Wie viele Bäume hat Randy auf seiner Farm? A: Denken wir Schritt für Schritt. Die Hälfte der Anzahl von Randys Mangobäumen ist 60/2 = <<60/2=30>> 30 Bäume. Also hat Randy 30 - 5 = <<30-5=25>> 25 Kokosnussbäume. Randy hat also 60 + 25 = <<60+25=85>> 85 Bäume auf seiner Farm. #### 85,F: Randy hat 60 Mangobäume auf seiner Farm. Er hat auch 5 weniger als die Hälfte so viele Kokosnussbäume wie Mangobäume. Wie viele Bäume hat Randy auf seiner Farm? A: Denken wir Schritt für Schritt. Die Hälfte der Anzahl von Randys Mangobäumen ist 60/2 = <<60/2=30>> 30 Bäume. Also hat Randy 30 - 5 = <<30-5=25>> 25 Kokosnussbäume. Randy hat also 60 + 25 = <<60+25=85>> 85 Bäume auf seiner Farm. Die Antwort ist 85.,12
13,13,"F: Jasper wird Charcuterie auf seiner Dinnerparty servieren. Er kauft 2 Pfund Cheddar-Käse für 10 Dollar, ein Pfund Creme-Käse, der halb so viel kostet wie der Cheddar-Käse, und Eine Packung Cold Cuts, die doppelt so viel kosten wie der Cheddar-Käse. Wie viel gibt er für die Zutaten aus? A: Denken wir Schritt für Schritt. Ein Pfund Frischkäse kostet $ 10 / 2 = $ <<10/2=5>> 5. Eine Packung Kaltschnitte kostet $10 x 2 = $ <<10*2=20>> 20. Jasper hat $10 + $5 + $20 = $ <<10+5+20=35>>35 für die Zutaten ausgegeben. #### 35","F: Jasper wird Charcuterie auf seiner Dinnerparty servieren. Er kauft 2 Pfund Cheddar-Käse für 10 Dollar, ein Pfund Creme-Käse, der halb so viel kostet wie der Cheddar-Käse, und Eine Packung Cold Cuts, die doppelt so viel kosten wie der Cheddar-Käse. Wie viel gibt er für die Zutaten aus? A: Denken wir Schritt für Schritt. Ein Pfund Frischkäse kostet $ 10 / 2 = $ <<10/2=5>> 5. Eine Packung Kaltschnitte kostet $10 x 2 = $ <<10*2=20>> 20. Jasper hat $10 + $5 + $20 = $ <<10+5+20=35>>35 für die Zutaten ausgegeben. Die Antwort ist 35.",13
14,14,"F: Joy kann 8 Seiten eines Buches in 20 Minuten lesen. Wie viele Stunden braucht sie, um 120 Seiten zu lesen? A: Denken wir Schritt für Schritt. In einer Stunde gibt es 3 Sätze von 20 Minuten. Also kann Joy 8 x 3 = <<8*3=24>> 24 Seiten in einer Stunde lesen. Sie braucht 120/24 = <<120/24=5>> 5 Stunden, um 120 Seiten zu lesen. #### 5","F: Joy kann 8 Seiten eines Buches in 20 Minuten lesen. Wie viele Stunden braucht sie, um 120 Seiten zu lesen? A: Denken wir Schritt für Schritt. In einer Stunde gibt es 3 Sätze von 20 Minuten. Also kann Joy 8 x 3 = <<8*3=24>> 24 Seiten in einer Stunde lesen. Sie braucht 120/24 = <<120/24=5>> 5 Stunden, um 120 Seiten zu lesen. Die Antwort ist 5.",14
19,19,"F: Tim fährt an jedem seiner fünf Arbeitstage mit seinem Fahrrad hin und her zur Arbeit. Seine Arbeit ist 20 Meilen entfernt. Am Wochenende fährt er auch 200 Meilen mit dem Fahrrad. Wenn er mit 25 Meilen pro Stunde radeln kann, wie viel Zeit verbringt er pro Woche damit? A: Denken wir Schritt für Schritt. Er fährt 20*2= <<20*2=40>> 40 Meilen pro Tag zur Arbeit also fährt er 40*5= <<40*5=200>> 200 Meilen zur Arbeit das bedeutet er fährt insgesamt 200+200= <<200+200=400>> 400 Meilen zur Arbeit also fährt er insgesamt 400/25= <<400/25=16>> 16 Stunden #### 16","F: Tim fährt an jedem seiner fünf Arbeitstage mit seinem Fahrrad hin und her zur Arbeit. Seine Arbeit ist 20 Meilen entfernt. Am Wochenende fährt er auch 200 Meilen mit dem Fahrrad. Wenn er mit 25 Meilen pro Stunde radeln kann, wie viel Zeit verbringt er pro Woche damit? A: Denken wir Schritt für Schritt. Er fährt 20*2= <<20*2=40>> 40 Meilen pro Tag zur Arbeit also fährt er 40*5= <<40*5=200>> 200 Meilen zur Arbeit das bedeutet er fährt insgesamt 200+200= <<200+200=400>> 400 Meilen zur Arbeit also fährt er insgesamt 400/25= <<400/25=16>> 16 Stunden Die Antwort ist 16",19
24,24,"F: Mary macht am Samstag ihren Einkauf. Sie macht ihre Einkäufe nur in einem bestimmten Laden, in dem ihr ein Kredit von 100 Dollar gestattet ist, der vor ihrer nächsten Einkaufsreise vollständig bezahlt werden muß. In dieser Woche verbrauchte sie das gesamte Kreditlimit und zahlte am Dienstag 15 Dollar und am Donnerstag 23 Dollar. Wie viel Kredit muss Mary vor ihrer nächsten Einkaufsreise bezahlen? A: Denken wir Schritt für Schritt. Bisher hat Mary $ 15 + $ 23 = $ <<15+23=38>> 38 des Kredits zurückgezahlt. Also muss sie immer noch $ 100 bezahlen - $ 38 = $ <<100-38=62>> 62 #### 62","F: Mary macht am Samstag ihren Einkauf. Sie macht ihre Einkäufe nur in einem bestimmten Laden, in dem ihr ein Kredit von 100 Dollar gestattet ist, der vor ihrer nächsten Einkaufsreise vollständig bezahlt werden muß. In dieser Woche verbrauchte sie das gesamte Kreditlimit und zahlte am Dienstag 15 Dollar und am Donnerstag 23 Dollar. Wie viel Kredit muss Mary vor ihrer nächsten Einkaufsreise bezahlen? A: Denken wir Schritt für Schritt. Bisher hat Mary $ 15 + $ 23 = $ <<15+23=38>> 38 des Kredits zurückgezahlt. Also muss sie immer noch $ 100 bezahlen - $ 38 = $ <<100-38=62>> 62 Die Antwort ist 62",24
25,25,"F: Ralph wird Tennis mit einer Tennisballmaschine üben, die Tennisbälle schießt, damit Ralph sie schlagen kann. Er füllt die Maschine zunächst mit 175 Tennisbällen. Von den ersten 100 Bälle schafft er es, 2/5 davon zu treffen. Von den nächsten 75 Tennisbällen schafft er es, ein Drittel davon zu treffen. Von all den Tennisbällen, wie viele hat Ralph nicht getroffen? A: Denken wir Schritt für Schritt. Von den ersten 100 Bälle, war Ralph in der Lage, 2/5 davon zu treffen und nicht in der Lage, 3/5 davon zu treffen, 3/5 x 100 = 60 Tennisbälle, die Ralph nicht getroffen hat. Von den nächsten 75 Bälle, war Ralph in der Lage, 1/3 davon zu treffen und nicht in der Lage, 2/3 davon zu treffen, 2/3 x 75 = 50 Tennisbälle, die Ralph nicht getroffen hat. Zusammengenommen war Ralph nicht in der Lage, 60 + 50 = <<60+50=110>> zu schlagen. 110 Tennisbälle, die Ralph nicht schlug. #### 110","F: Ralph wird Tennis mit einer Tennisballmaschine üben, die Tennisbälle schießt, damit Ralph sie schlagen kann. Er füllt die Maschine zunächst mit 175 Tennisbällen. Von den ersten 100 Bälle schafft er es, 2/5 davon zu treffen. Von den nächsten 75 Tennisbällen schafft er es, ein Drittel davon zu treffen. Von all den Tennisbällen, wie viele hat Ralph nicht getroffen? A: Denken wir Schritt für Schritt. Von den ersten 100 Bälle, war Ralph in der Lage, 2/5 davon zu treffen und nicht in der Lage, 3/5 davon zu treffen, 3/5 x 100 = 60 Tennisbälle, die Ralph nicht getroffen hat. Von den nächsten 75 Bälle, war Ralph in der Lage, 1/3 davon zu treffen und nicht in der Lage, 2/3 davon zu treffen, 2/3 x 75 = 50 Tennisbälle, die Ralph nicht getroffen hat. Zusammengenommen war Ralph nicht in der Lage, 60 + 50 = <<60+50=110>> zu schlagen. 110 Tennisbälle, die Ralph nicht schlug. Die Antwort ist 110.",25
33,33,"Um Pizza zusammen mit anderen Zutaten zu machen, braucht Kimber 10 Tassen Wasser, 16 Tassen Mehl, und 1/2 mal so viele Teelöffel Salz wie die Anzahl Tassen Mehl. Berechne die Gesamtzahl von Tassen Wasser, Mehl und Teelöffel Salz, die sie für die Pizza braucht. A: Denken wir Schritt für Schritt. Um die Pizza zu machen, benötigt Kimber halb so viele Teelöffel Salz wie die Anzahl der Tassen Mehl, was bedeutet, dass sie 1/2*16 = <<16*1/2=8>> 8 Teelöffel Salz benötigt. Die Gesamtzahl der Tassen Mehl und Teelöffel Salz, die sie benötigt, ist 8+16 = <<8+16=24>> 24 Sie benötigt auch 10 Tassen Wasser, was bedeutet, dass die Gesamtzahl der Tassen Wasser und Mehl und Teelöffel Salz, die sie benötigt, 24+10 = <<24+10=34>> 34 #### 34","Um Pizza zusammen mit anderen Zutaten zu machen, braucht Kimber 10 Tassen Wasser, 16 Tassen Mehl, und 1/2 mal so viele Teelöffel Salz wie die Anzahl Tassen Mehl. Berechne die Gesamtzahl von Tassen Wasser, Mehl und Teelöffel Salz, die sie für die Pizza braucht. A: Denken wir Schritt für Schritt. Um die Pizza zu machen, benötigt Kimber halb so viele Teelöffel Salz wie die Anzahl der Tassen Mehl, was bedeutet, dass sie 1/2*16 = <<16*1/2=8>> 8 Teelöffel Salz benötigt. Die Gesamtzahl der Tassen Mehl und Teelöffel Salz, die sie braucht, ist 8+16 = <<8+16=24>> 24 Sie braucht auch 10 Tassen Wasser, was bedeutet, dass die Gesamtzahl der Tassen Wasser und Mehl und Teelöffel Salz, die sie braucht, 24+10 = <<24+10=34>> 34 Die Antwort ist 34",33
